start	end	text
0	5000	Hey everyone, welcome to AI Agent 101.
5000	11000	Today we're going to take a fun practical look at what makes large language models more than just chatbots,
11000	16000	and how to turn them into powerful open source agents that can actually do things.
16000	24000	To warm up, let's look at a real open source example built by a project called WebUI by Browser Use.
24000	27000	Here's a scenario. Say I want to cook chili for dinner.
27000	31000	So I'm going to prompt the agent, I want to cook chili for dinner tonight.
31000	35000	Can you find the ingredients and put them in my shopping cart?
35000	38000	This open source agent plans the workflow for me.
38000	43000	It finds the recipe, extracts the ingredients, and adds them to the cart automatically.
43000	51000	Watch how it alternates between thinking and doing, reasoning about the recipe, then browsing online, then taking action to fill the basket.
51000	56000	That's the React agent pattern in motion, combining reasoning with real-world action.
56000	60000	Instead of just answering questions, the model becomes
60000	61000	the same.
